"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"CYRE10","","Cyanea remyi Rock","haha","E"
"CYRI4","","Cyanea rivularis Rock","",""
"CYRI4","DERI4","Delissea rivularis (Rock) E. Wimm.","oha","E"
"CYSH","","Cyanea shipmanii Rock","haha","E"
"CYST8","","Cyanea st.-johnii (Hosaka) Lammers, Givnish & Systma","haha","E"
"CYST5","","Cyanea stictophylla Rock","haha","E"
"CYSU8","","Cyanea superba (Cham.) A. Gray","haha","E"
"CYTR7","","Cyanea truncata (Rock) Rock","haha","E"
"CYUN5","","Cyanea undulata Forbes","haha","E"
"CYHUJ","","Cycladenia humilis Benth. var. jonesii (Eastw.) S.L. Welsh & N.D. Atwood","",""
"CYHUJ","CYJO2","Cycladenia jonesii Eastw.","Jones cycladenia","T"
"CYFA3","","Cyperus fauriei Kük.","",""
"CYFA3","MAFA7","Mariscus fauriei (Kük.) T. Koyama","","E"
"CYPEP","","Cyperus pennatiformis Kük. var. pennatiformis","",""
"CYPEP","MAPE5","Mariscus pennatiformis (Kük.) T. Koyama","","E"
"CYTR2","","Cyperus trachysanthos Hook. & Arn.","pu`uka`a","E"
"CYCR4","","Cyrtandra crenata H. St. John & Storey","ha`iwale","E"
"CYCY3","","Cyrtandra cyaneoides Rock","mapele","E"
"CYDE4","","Cyrtandra dentata H. St. John & Storey","ha`iwale","E"
"CYGI3","","Cyrtandra giffardii Rock","ha`iwale","E"
"CYLI9","","Cyrtandra limahuliensis H. St. John","ha`iwale","T"
"CYMU5","","Cyrtandra munroi Forbes","ha`iwale","E"
"CYPO4","","Cyrtandra polyantha C.B. Clarke","ha`iwale","E"
"CYSU6","","Cyrtandra subumbellata (Hillebr.) H. St. John & Storey","ha`iwale","E"
"CYTI","","Cyrtandra tintinnabula Rock","ha`iwale","E"
"CYVI7","","Cyrtandra viridiflora H. St. John & Storey","ha`iwale","E"
"DAFO2","","Dalea foliosa (A. Gray) Barneby","leafy prairie-clover","E"
"DAHE2","","Daphnopsis helleriana Urb.","","E"
"DEPU6","","Deeringothamnus pulchellus Small","beautiful pawpaw","E"
"DERU","","Deeringothamnus rugelii (B.L. Rob.) Small","Rugel's pawpaw","E"
"DECO13","","Deinandra conjugens (D.D. Keck) B.G. Baldw.","Otay tarplant","T"
"DEINV3","","Deinandra increscens (H.M. Hall ex D.D. Keck) B.G. Baldw. ssp. villosa (Tanowitz) B.G. Baldw.","Gaviota tarplant","E"
"DERH2","","Delissea rhytidosperma H. Mann","","E"
"DESU","","Delissea subcordata Gaudich.","oha","E"
"DEUN2","","Delissea undulata Gaudich.","","E"
"DEBA","","Delphinium bakeri Ewan","Baker's larkspur","E"
"DELU","","Delphinium luteum A. Heller","yellow larkspur","E"
"DEVAK","","Delphinium variegatum Torr. & A. Gray ssp. kinkiense (Munz) Warnock","San Clemente Island larkspur","E"
"DICH4","","Dicerandra christmanii R.B. Huck & W.S. Judd","Garrett's mint","E"
"DICO5","","Dicerandra cornutissima R.B. Huck","longspurred mint","E"
"DIFR","","Dicerandra frutescens Shinners","scrub mint","E"
"DIIM","","Dicerandra immaculata Lakela","Lakela's mint","E"
"DIER3","","Diellia erecta Brack.","asplenium-leaved diellia","E"
"DIFA","","Diellia falcata Brack.","","E"
"DIPA25","","Diellia pallida W.H. Wagner","","E"
"DIUN3","","Diellia unisora W.H. Wagner","","E"
"DIMO4","","Diplazium molokaiense W.J. Rob.","","E"
"DOLE","","Dodecahema leptoceras (A. Gray ex Benth.) Reveal & Hardham","slender-horned spineflower","E"
"DUHE","","Dubautia herbstobatae G.D. Carr","na`ena`e","E"
"DULA3","","Dubautia latifolia (A. Gray) D.D. Keck","na`ena`e","E"
"DUPA5","","Dubautia pauciflorula H. St. John & G.D. Carr","na`ena`e","E"
"DUPLH","","Dubautia plantaginea Gaudich. ssp. humilis G.D. Carr","na`ena`e","E"
"DUABP","","Dudleya abramsii Rose ssp. parva (Rose & Davidson) Bartel","conejo dudleya","T"
"DUCYM","","Dudleya cymosa (Lem.) Britton & Rose ssp. marcescens Moran","marcescent dudleya","T"
"DUCYO","","Dudleya cymosa (Lem.) Britton & Rose ssp. ovatifolia (Britton) Moran","Santa Monica Mountains dudleyea","T"
"DUNE","","Dudleya nesiotica (Moran) Moran","Santa Cruz Island dudleya","T"
"DUSE","","Dudleya setchellii (Jeps.) Britton & Rose","Santa Clara Valley dudleya","E"
"DUST","","Dudleya stolonifera Moran","Laguna Beach liveforever","T"
"DUTR","","Dudleya traskiae (Rose) Moran","Santa Barbara Island liveforever","E"
"DUVE","","Dudleya verityi K.M. Nakai","Verity's dudleya","T"
"ECLA","","Echinacea laevigata (C.L. Boynt. & Beadle) S.F. Blake","smooth coneflower","E"
"ECTE3","","Echinacea tennesseensis (Beadle) Small","Tennessee purple coneflower","E"
"ECHON","","Echinocactus horizonthalonius Lem. var. nicholii L.D. Benson","Nichol's turk's head cactus","E"
"ECCH2","","Echinocereus chisoensis W.T. Marshall","Chisos Mountain hedgehog cactus","T"
"ECCOA","","Echinocereus coccineus Engelm. var. arizonicus (Rose ex Orcutt) D.J. Ferguson","",""
"ECCOA","ECTRA","Echinocereus triglochidiatus Engelm. var. arizonicus (Rose ex Orcutt) L.D. Benson","Arizona hedgehog cactus","E"
"ECFEF3","","Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage ssp. fendleri","",""
